CRASH DATE,NUMBER OF PERSONS INJURED
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,2
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,5
01/02/2025,2
01/02/2025,3
01/02/2025,0
01/02/2025,0
01/02/2025,2
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,2
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,1
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,2
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,2
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,1
01/02/2025,1
01/02/2025,2
01/02/2025,1
01/02/2025,1
01/02/2025,2
01/02/2025,1
01/02/2025,0
01/02/2025,1
01/02/2025,1
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,2
01/02/2025,1
01/02/2025,1
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,1
01/02/2025,2
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,1
01/02/2025,1
01/02/2025,1
01/02/2025,5
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,2
01/02/2025,0
01/02/2025,2
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,1
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,2
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,0
01/02/2025,1
01/02/2025,0
01/02/2025,2
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,2
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,2
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,1
01/03/2025,1
01/03/2025,0
01/03/2025,2
01/03/2025,1
01/03/2025,1
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,1
01/03/2025,1
01/03/2025,1
01/03/2025,0
01/03/2025,1
01/03/2025,1
01/03/2025,2
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,2
01/03/2025,1
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,4
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,2
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,2
01/03/2025,0
01/03/2025,1
01/03/2025,1
01/03/2025,0
01/03/2025,2
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,2
01/03/2025,1
01/03/2025,1
01/03/2025,2
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,2
01/03/2025,2
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
